id,person_id,group,note
2,2,man,
3,3,man,
5,5,woman,
6,6,woman,
10,10,man,
24,24,man,
28,28,man,
33,33,woman,
34,34,man,
87,87,man,
89,89,man,
97,97,woman,
98,98,man,
99,99,woman,
102,102,woman,
103,103,woman,
104,104,man,
110,110,man,
114,114,man,
117,117,woman,
120,120,man,
121,121,man,
122,122,woman,
123,123,man,
124,124,woman,
126,126,woman,
127,127,woman,
128,128,woman,
130,130,man,
132,132,man,
133,133,man,
135,135,woman,
137,137,man,
138,138,woman,
139,139,man,
140,140,woman,
141,141,man,
142,142,woman,
143,143,woman,
144,144,woman,
145,145,man,
146,146,woman,
148,148,woman,
149,149,man,
150,150,woman,
153,153,woman,
154,154,woman,
156,156,woman,
162,162,man,
164,164,woman,
165,165,woman,
173,173,woman,
178,178,man,
179,179,woman,
190,190,woman,
191,191,man,
192,192,woman,
194,194,man,
198,198,man,
200,200,man,
202,202,woman,
207,207,woman,
208,208,woman,
209,209,woman,
210,210,man,
211,211,woman,
212,212,woman,
213,213,man,
214,214,woman,
218,218,woman,
220,220,man,
221,221,man,
222,222,woman,
224,224,man,
225,225,man,
226,226,woman,
227,227,woman,
228,228,man,
229,229,man,
232,232,woman,
233,233,woman,
234,234,woman,
236,236,man,
237,237,man,
238,238,woman,
239,239,man,
240,240,woman,
241,241,woman,
243,243,man,
245,245,man,
247,247,man,
249,249,man,
251,251,man,
252,252,woman,
258,258,man,
266,266,woman,
267,267,woman,
268,268,woman,
269,269,man,
273,273,woman,
274,274,woman,
285,285,woman,
288,288,woman,
289,289,woman,
295,295,man,
296,296,man,
299,299,woman,
300,300,man,
303,303,woman,
304,304,woman,
305,305,woman,
307,307,woman,
309,309,woman,
310,310,man,
311,311,woman,
312,312,woman,
317,317,man,
319,319,man,
322,322,man,
324,324,man,
325,325,woman,
326,326,woman,
330,330,woman,
331,331,woman,
332,332,man,
339,339,woman,
342,342,woman,
343,343,man,
351,351,woman,
354,354,man,
355,355,man,
356,356,woman,
357,357,woman,
358,358,woman,
359,359,woman,
363,363,man,
376,376,man,
377,377,woman,
382,382,woman,
383,383,woman,
459,459,man,
460,460,man,
463,463,woman,
465,465,woman,
466,466,man,
467,467,woman,
469,469,woman,
471,471,man,
472,472,woman,
473,473,woman,
475,475,woman,
477,477,man,
480,480,man,
481,481,woman,
487,487,man,
488,488,woman,
491,491,woman,
492,492,man,
493,493,man,
494,494,woman,
495,495,woman,
496,496,woman,
499,499,man,
500,500,woman,
501,501,man,
503,503,woman,
505,505,woman,
507,507,woman,
509,509,woman,
510,510,man,
511,511,woman,
512,512,woman,
513,513,man,
514,514,woman,
518,518,woman,
519,519,woman,
520,520,man,
521,521,woman,
522,522,woman,
525,525,woman,
531,531,woman,
533,533,man,
534,534,man,
535,535,woman,
539,539,woman,
540,540,woman,
542,542,woman,
544,544,woman,
545,545,woman,
546,546,man,
547,547,woman,
548,548,woman,
549,549,man,
550,550,woman,
553,553,man,
554,554,woman,
555,555,man,
560,560,man,
562,562,woman,
563,563,woman,
565,565,man,
566,566,man,
569,569,woman,
572,572,man,
574,574,woman,
575,575,woman,
578,578,woman,
580,580,man,
581,581,man,
584,584,man,
585,585,man,
588,588,woman,
590,590,woman,
595,595,man,
597,597,man,
599,599,man,
600,600,man,
601,601,man,
602,602,man,
605,605,man,
606,606,man,
607,607,woman,
610,610,woman,
611,611,man,
613,613,woman,
616,616,woman,
617,617,man,
618,618,man,
619,619,woman,
621,621,woman,
622,622,woman,
623,623,woman,
624,624,man,
626,626,man,
627,627,woman,
632,632,woman,
633,633,woman,
634,634,woman,
636,636,man,
638,638,woman,
641,641,woman,
642,642,woman,
643,643,woman,
644,644,woman,
645,645,woman,
646,646,woman,
649,649,woman,
650,650,woman,
653,653,man,
654,654,man,
658,658,woman,
661,661,woman,
663,663,woman,
666,666,woman,
667,667,man,
668,668,woman,
669,669,woman,
670,670,woman,
672,672,woman,
675,675,man,
676,676,man,
677,677,man,
678,678,man,
679,679,woman,
680,680,woman,
682,682,man,
683,683,man,
686,686,woman,
687,687,man,
688,688,woman,
690,690,man,
691,691,man,
693,693,man,
694,694,man,
695,695,woman,
696,696,woman,
699,699,man,
700,700,man,
704,704,woman,
706,706,man,
707,707,woman,
710,710,woman,
711,711,man,
712,712,man,
