id,person_id,group,note
2,2,other,
3,3,asian,
5,5,caucasian,
6,6,caucasian,
10,10,caucasian,
24,24,other,
28,28,caucasian,
33,33,caucasian,
34,34,asian,
87,87,caucasian,
89,89,asian,
97,97,afro_american,
98,98,caucasian,
99,99,caucasian,
102,102,caucasian,
103,103,caucasian,
104,104,afro_american,
110,110,asian,
114,114,caucasian,
117,117,afro_american,
120,120,caucasian,
121,121,caucasian,
122,122,caucasian,
123,123,caucasian,
124,124,caucasian,
126,126,asian,
127,127,caucasian,
128,128,other,
130,130,caucasian,
132,132,caucasian,
133,133,caucasian,
135,135,caucasian,
137,137,caucasian,
138,138,caucasian,
139,139,caucasian,
140,140,caucasian,
141,141,other,
142,142,caucasian,
143,143,other,
144,144,caucasian,
145,145,asian,
146,146,caucasian,
148,148,asian,
149,149,caucasian,
150,150,caucasian,
153,153,caucasian,
154,154,afro_american,
156,156,caucasian,
162,162,afro_american,
164,164,caucasian,
165,165,caucasian,
173,173,caucasian,
178,178,caucasian,
179,179,caucasian,
190,190,caucasian,
191,191,caucasian,
192,192,caucasian,
194,194,caucasian,
198,198,caucasian,
200,200,other,
202,202,asian,
207,207,caucasian,
208,208,other,
209,209,caucasian,
210,210,other,
211,211,caucasian,
212,212,afro_american,
213,213,caucasian,
214,214,other,
218,218,caucasian,
220,220,caucasian,
221,221,other,
222,222,caucasian,
224,224,asian,
225,225,caucasian,
226,226,caucasian,
227,227,caucasian,
228,228,caucasian,
229,229,caucasian,
232,232,caucasian,
233,233,caucasian,
234,234,caucasian,
236,236,caucasian,
237,237,afro_american,
238,238,asian,
239,239,asian,
240,240,caucasian,
241,241,caucasian,
243,243,caucasian,
245,245,caucasian,
247,247,asian,
249,249,caucasian,
251,251,other,
252,252,caucasian,
258,258,other,
266,266,caucasian,
267,267,caucasian,
268,268,other,
269,269,caucasian,
273,273,caucasian,
274,274,caucasian,
285,285,caucasian,
288,288,caucasian,
289,289,caucasian,
295,295,other,
296,296,caucasian,
299,299,other,
300,300,caucasian,
303,303,caucasian,
304,304,caucasian,
305,305,caucasian,
307,307,caucasian,
309,309,caucasian,
310,310,other,
311,311,caucasian,
312,312,caucasian,
317,317,caucasian,
319,319,caucasian,
322,322,caucasian,
324,324,other,
325,325,caucasian,
326,326,caucasian,
330,330,caucasian,
331,331,caucasian,
332,332,asian,
339,339,caucasian,
342,342,caucasian,
343,343,caucasian,
351,351,caucasian,
354,354,caucasian,
355,355,caucasian,
356,356,caucasian,
357,357,caucasian,
358,358,caucasian,
359,359,caucasian,
363,363,caucasian,
376,376,asian,
377,377,caucasian,
382,382,caucasian,
383,383,caucasian,
459,459,caucasian,
460,460,caucasian,
463,463,caucasian,
465,465,afro_american,
466,466,caucasian,
467,467,caucasian,
469,469,caucasian,
471,471,caucasian,
472,472,caucasian,
473,473,caucasian,
475,475,caucasian,
477,477,caucasian,
480,480,caucasian,
481,481,caucasian,
487,487,caucasian,
488,488,other,
491,491,asian,
492,492,caucasian,
493,493,caucasian,
494,494,caucasian,
495,495,caucasian,
496,496,afro_american,
499,499,asian,
500,500,caucasian,
501,501,caucasian,
503,503,caucasian,
505,505,caucasian,
507,507,caucasian,
509,509,caucasian,
510,510,caucasian,
511,511,afro_american,
512,512,caucasian,
513,513,other,
514,514,caucasian,
518,518,caucasian,
519,519,afro_american,
520,520,caucasian,
521,521,caucasian,
522,522,caucasian,
525,525,caucasian,
531,531,caucasian,
533,533,caucasian,
534,534,caucasian,
535,535,caucasian,
539,539,caucasian,
540,540,caucasian,
542,542,caucasian,
544,544,caucasian,
545,545,caucasian,
546,546,caucasian,
547,547,caucasian,
548,548,other,
549,549,caucasian,
550,550,caucasian,
553,553,caucasian,
554,554,asian,
555,555,caucasian,
560,560,caucasian,
562,562,afro_american,
563,563,caucasian,
565,565,caucasian,
566,566,caucasian,
569,569,caucasian,
572,572,caucasian,
574,574,afro_american,
575,575,caucasian,
578,578,caucasian,
580,580,caucasian,
581,581,caucasian,
584,584,caucasian,
585,585,caucasian,
588,588,caucasian,
590,590,caucasian,
595,595,caucasian,
597,597,asian,
599,599,caucasian,
600,600,caucasian,
601,601,caucasian,
602,602,caucasian,
605,605,caucasian,
606,606,caucasian,
607,607,caucasian,
610,610,caucasian,
611,611,asian,
613,613,afro_american,
616,616,caucasian,
617,617,caucasian,
618,618,caucasian,
619,619,caucasian,
621,621,afro_american,
622,622,afro_american,
623,623,caucasian,
624,624,caucasian,
626,626,caucasian,
627,627,caucasian,
632,632,afro_american,
633,633,asian,
634,634,asian,
636,636,caucasian,
638,638,other,
641,641,caucasian,
642,642,caucasian,
643,643,caucasian,
644,644,caucasian,
645,645,caucasian,
646,646,caucasian,
649,649,caucasian,
650,650,afro_american,
653,653,caucasian,
654,654,caucasian,
658,658,caucasian,
661,661,caucasian,
663,663,caucasian,
666,666,caucasian,
667,667,other,
668,668,afro_american,
669,669,caucasian,
670,670,caucasian,
672,672,caucasian,
675,675,caucasian,
676,676,caucasian,
677,677,caucasian,
678,678,caucasian,
679,679,caucasian,
680,680,caucasian,
682,682,caucasian,
683,683,other,
686,686,caucasian,
687,687,caucasian,
688,688,afro_american,
690,690,caucasian,
691,691,caucasian,
693,693,caucasian,
694,694,caucasian,
695,695,caucasian,
696,696,other,
699,699,caucasian,
700,700,caucasian,
704,704,caucasian,
706,706,caucasian,
707,707,caucasian,
710,710,caucasian,
711,711,caucasian,
712,712,caucasian,
714,714,caucasian,
716,716,caucasian,
718,718,caucasian,
719,719,caucasian,
721,721,caucasian,
722,722,other,
728,728,caucasian,
729,729,afro_american,
730,730,caucasian,
731,731,afro_american,
732,732,afro_american,
733,733,afro_american,
737,737,caucasian,
740,740,caucasian,
741,741,caucasian,
742,742,caucasian,
743,743,caucasian,
745,745,caucasian,
746,746,caucasian,
747,747,caucasian,
748,748,caucasian,
749,749,caucasian,
750,750,caucasian,
752,752,caucasian,
753,753,caucasian,
755,755,caucasian,
756,756,caucasian,
757,757,caucasian,
764,764,afro_american,
765,765,caucasian,
767,767,caucasian,
771,771,caucasian,
772,772,caucasian,
773,773,caucasian,
774,774,caucasian,
775,775,caucasian,
776,776,caucasian,
777,777,caucasian,
779,779,caucasian,
789,789,asian,
790,790,caucasian,
791,791,afro_american,
795,795,caucasian,
796,796,afro_american,
798,798,caucasian,
801,801,asian,
802,802,caucasian,
803,803,caucasian,
804,804,afro_american,
806,806,caucasian,
807,807,other,
808,808,caucasian,
810,810,caucasian,
811,811,afro_american,
812,812,other,
814,814,caucasian,
818,818,caucasian,
819,819,caucasian,
820,820,caucasian,
821,821,other,
823,823,caucasian,
825,825,asian,
827,827,asian,
828,828,caucasian,
831,831,afro_american,
832,832,caucasian,
833,833,caucasian,
835,835,caucasian,
837,837,caucasian,
840,840,caucasian,
841,841,caucasian,
842,842,asian,
849,849,caucasian,
850,850,asian,
851,851,caucasian,
852,852,caucasian,
853,853,afro_american,
855,855,other,
859,859,caucasian,
861,861,caucasian,
864,864,caucasian,
865,865,afro_american,
868,868,caucasian,
869,869,caucasian,
872,872,caucasian,
873,873,caucasian,
874,874,caucasian,
875,875,caucasian,
876,876,caucasian,
878,878,caucasian,
880,880,asian,
881,881,caucasian,
882,882,caucasian,
886,886,caucasian,
888,888,caucasian,
889,889,afro_american,
890,890,other,
891,891,caucasian,
892,892,caucasian,
894,894,caucasian,
896,896,asian,
897,897,caucasian,
898,898,afro_american,
899,899,caucasian,
900,900,caucasian,
904,904,caucasian,
905,905,other,
907,907,caucasian,
911,911,asian,
912,912,caucasian,
914,914,caucasian,
915,915,caucasian,
921,921,other,
923,923,caucasian,
924,924,caucasian,
926,926,caucasian,
927,927,caucasian,
930,930,caucasian,
931,931,caucasian,
932,932,caucasian,
933,933,caucasian,
934,934,caucasian,
935,935,asian,
938,938,asian,
939,939,caucasian,
944,944,caucasian,
945,945,other,
947,947,asian,
948,948,caucasian,
949,949,caucasian,
953,953,caucasian,
955,955,caucasian,
956,956,caucasian,
960,960,caucasian,
961,961,caucasian,
963,963,caucasian,
965,965,caucasian,
968,968,other,
969,969,caucasian,
971,971,caucasian,
974,974,caucasian,
976,976,caucasian,
980,980,caucasian,
981,981,caucasian,
982,982,caucasian,
983,983,caucasian,
984,984,afro_american,
986,986,caucasian,
989,989,other,
991,991,caucasian,
992,992,caucasian,
997,997,afro_american,
998,998,afro_american,
999,999,caucasian,
1000,1000,caucasian,
1001,1001,caucasian,
1002,1002,caucasian,
1003,1003,caucasian,
1009,1009,caucasian,
1010,1010,caucasian,
1012,1012,caucasian,
1015,1015,caucasian,
1018,1018,caucasian,
1019,1019,caucasian,
1020,1020,caucasian,
1021,1021,caucasian,
1022,1022,other,
1024,1024,caucasian,
1025,1025,other,
1029,1029,caucasian,
1030,1030,caucasian,
1031,1031,caucasian,
1032,1032,caucasian,
1034,1034,caucasian,
1035,1035,afro_american,
1036,1036,caucasian,
1038,1038,caucasian,
1039,1039,asian,
1041,1041,caucasian,
1042,1042,caucasian,
1044,1044,caucasian,
1045,1045,caucasian,
1046,1046,caucasian,
1050,1050,caucasian,
1051,1051,afro_american,
1052,1052,caucasian,
1054,1054,caucasian,
1055,1055,caucasian,
1056,1056,asian,
1057,1057,caucasian,
1058,1058,caucasian,
1059,1059,caucasian,
1060,1060,caucasian,
1062,1062,asian,
1063,1063,caucasian,
1064,1064,afro_american,
1065,1065,caucasian,
1066,1066,afro_american,
1069,1069,caucasian,
1070,1070,other,
1073,1073,other,
1075,1075,asian,
1076,1076,afro_american,
1077,1077,other,
1080,1080,other,
1081,1081,caucasian,
1082,1082,caucasian,
1083,1083,caucasian,
1084,1084,caucasian,
1085,1085,caucasian,
1086,1086,caucasian,
1087,1087,asian,
1088,1088,caucasian,
1089,1089,afro_american,
1090,1090,afro_american,
1091,1091,other,
1092,1092,afro_american,
1093,1093,caucasian,
1095,1095,caucasian,
1099,1099,other,
1100,1100,caucasian,
1102,1102,caucasian,
1103,1103,caucasian,
1104,1104,caucasian,
1105,1105,caucasian,
1106,1106,caucasian,
1107,1107,caucasian,
1109,1109,caucasian,
1110,1110,caucasian,
1118,1118,caucasian,
1119,1119,caucasian,
1120,1120,other,
1121,1121,asian,
1122,1122,caucasian,
1123,1123,caucasian,
1126,1126,caucasian,
1127,1127,asian,
1128,1128,caucasian,
1129,1129,caucasian,
1134,1134,caucasian,
1135,1135,caucasian,
1138,1138,caucasian,
1139,1139,caucasian,
1143,1143,caucasian,
1145,1145,caucasian,
1146,1146,caucasian,
1147,1147,other,
1148,1148,caucasian,
1149,1149,caucasian,
1151,1151,caucasian,
1152,1152,asian,
1155,1155,caucasian,
1156,1156,caucasian,
1157,1157,caucasian,
1158,1158,caucasian,
1161,1161,caucasian,
1162,1162,afro_american,
1163,1163,caucasian,
1164,1164,caucasian,
1165,1165,caucasian,
1166,1166,caucasian,
1167,1167,caucasian,
1168,1168,caucasian,
1169,1169,caucasian,
1170,1170,caucasian,
1171,1171,caucasian,
1172,1172,caucasian,
1173,1173,caucasian,
1174,1174,other,
1175,1175,caucasian,
1177,1177,afro_american,
1178,1178,afro_american,
1180,1180,caucasian,
1181,1181,asian,
1182,1182,caucasian,
1183,1183,afro_american,
1184,1184,caucasian,
1185,1185,caucasian,
1186,1186,caucasian,
1188,1188,caucasian,
1191,1191,caucasian,
1195,1195,caucasian,
1199,1199,asian,
1200,1200,caucasian,
1201,1201,asian,
1204,1204,caucasian,
1206,1206,asian,
1207,1207,afro_american,
1208,1208,afro_american,
1209,1209,caucasian,
1211,1211,caucasian,
1212,1212,afro_american,
1213,1213,afro_american,
1219,1219,caucasian,
1220,1220,caucasian,
1221,1221,afro_american,
1222,1222,caucasian,
1224,1224,afro_american,
1225,1225,caucasian,
1231,1231,caucasian,
1232,1232,caucasian,
1233,1233,caucasian,
1237,1237,caucasian,
1243,1243,afro_american,
1244,1244,caucasian,
1247,1247,caucasian,
1248,1248,other,
1250,1250,caucasian,
1252,1252,caucasian,
1254,1254,afro_american,
1255,1255,caucasian,
1256,1256,caucasian,
1259,1259,caucasian,
1260,1260,caucasian,
1262,1262,caucasian,
1266,1266,caucasian,
1267,1267,caucasian,
1269,1269,other,
1270,1270,afro_american,
1273,1273,caucasian,
1274,1274,caucasian,
1275,1275,caucasian,
1276,1276,caucasian,
1278,1278,caucasian,
1279,1279,other,
1281,1281,caucasian,
1282,1282,caucasian,
1283,1283,caucasian,
1285,1285,caucasian,
1286,1286,caucasian,
1293,1293,other,
1295,1295,other,
1297,1297,asian,
1298,1298,afro_american,
1300,1300,caucasian,
1301,1301,caucasian,
1303,1303,caucasian,
1304,1304,other,
1315,1315,other,
1316,1316,other,
1319,1319,other,
1320,1320,other,
1323,1323,caucasian,
1326,1326,caucasian,
1327,1327,caucasian,
1328,1328,caucasian,
1329,1329,afro_american,
1330,1330,caucasian,
1331,1331,caucasian,
1333,1333,caucasian,
1340,1340,caucasian,
1347,1347,caucasian,
1348,1348,caucasian,
1349,1349,asian,
1350,1350,asian,
1351,1351,other,
1352,1352,caucasian,
1353,1353,caucasian,
1354,1354,afro_american,
1356,1356,caucasian,
1357,1357,caucasian,
1358,1358,caucasian,
1360,1360,caucasian,
1361,1361,caucasian,
1362,1362,caucasian,
1366,1366,caucasian,
1367,1367,caucasian,
1368,1368,asian,
1370,1370,other,
1372,1372,caucasian,
1373,1373,caucasian,
1375,1375,caucasian,
1376,1376,caucasian,
1377,1377,afro_american,
1379,1379,caucasian,
1380,1380,caucasian,
1382,1382,afro_american,
1383,1383,caucasian,
1384,1384,afro_american,
1386,1386,caucasian,
1387,1387,caucasian,
1388,1388,caucasian,
1389,1389,caucasian,
1390,1390,caucasian,
1391,1391,caucasian,
1392,1392,caucasian,
1393,1393,caucasian,
1396,1396,caucasian,
1400,1400,caucasian,
