id,person_id,group,note
2,2,male,
3,3,male,
5,5,female,
6,6,female,
10,10,male,
24,24,male,
28,28,male,
33,33,female,
34,34,male,
87,87,male,
89,89,male,
97,97,female,
98,98,male,
99,99,female,
102,102,female,
103,103,female,
104,104,male,
110,110,male,
114,114,male,
117,117,female,
120,120,male,
121,121,male,
122,122,female,
123,123,male,
124,124,female,
126,126,female,
127,127,female,
128,128,female,
130,130,male,
132,132,male,
133,133,male,
135,135,female,
137,137,male,
138,138,female,
139,139,male,
140,140,female,
141,141,male,
142,142,female,
143,143,female,
144,144,female,
145,145,male,
146,146,female,
148,148,female,
149,149,male,
150,150,female,
153,153,female,
154,154,female,
156,156,female,
162,162,male,
164,164,female,
165,165,female,
173,173,female,
178,178,male,
179,179,female,
190,190,female,
191,191,male,
192,192,female,
194,194,male,
198,198,male,
200,200,male,
202,202,female,
207,207,female,
208,208,female,
209,209,female,
210,210,male,
211,211,female,
212,212,female,
213,213,male,
214,214,female,
218,218,female,
220,220,male,
221,221,male,
222,222,female,
224,224,male,
225,225,male,
226,226,female,
227,227,female,
228,228,male,
229,229,male,
232,232,female,
233,233,female,
234,234,female,
236,236,male,
237,237,male,
238,238,female,
239,239,male,
240,240,female,
241,241,female,
243,243,male,
245,245,male,
247,247,male,
249,249,male,
251,251,male,
252,252,female,
258,258,male,
266,266,female,
267,267,female,
268,268,female,
269,269,male,
273,273,female,
274,274,female,
285,285,female,
288,288,female,
289,289,female,
295,295,male,
296,296,male,
299,299,female,
300,300,male,
303,303,female,
304,304,female,
305,305,female,
307,307,female,
309,309,female,
310,310,male,
311,311,female,
312,312,female,
317,317,male,
319,319,male,
322,322,male,
324,324,male,
325,325,female,
326,326,female,
330,330,female,
331,331,female,
332,332,male,
339,339,female,
342,342,female,
343,343,male,
351,351,female,
354,354,male,
355,355,male,
356,356,female,
357,357,female,
358,358,female,
359,359,female,
363,363,male,
376,376,male,
377,377,female,
382,382,female,
383,383,female,
459,459,male,
460,460,male,
463,463,female,
465,465,female,
466,466,male,
467,467,female,
469,469,female,
471,471,male,
472,472,female,
473,473,female,
475,475,female,
477,477,male,
480,480,male,
481,481,female,
487,487,male,
488,488,female,
491,491,female,
492,492,male,
493,493,male,
494,494,female,
495,495,female,
496,496,female,
499,499,male,
500,500,female,
501,501,male,
503,503,female,
505,505,female,
507,507,female,
509,509,female,
510,510,male,
511,511,female,
512,512,female,
513,513,male,
514,514,female,
518,518,female,
519,519,female,
520,520,male,
521,521,female,
522,522,female,
525,525,female,
531,531,female,
533,533,male,
534,534,male,
535,535,female,
539,539,female,
540,540,female,
542,542,female,
544,544,female,
545,545,female,
546,546,male,
547,547,female,
548,548,female,
549,549,male,
550,550,female,
553,553,male,
554,554,female,
555,555,male,
560,560,male,
562,562,female,
563,563,female,
565,565,male,
566,566,male,
569,569,female,
572,572,male,
574,574,female,
575,575,female,
578,578,female,
580,580,male,
581,581,male,
584,584,male,
585,585,male,
588,588,female,
590,590,female,
595,595,male,
597,597,male,
599,599,male,
600,600,male,
601,601,male,
602,602,male,
605,605,male,
606,606,male,
607,607,female,
610,610,female,
611,611,male,
613,613,female,
616,616,female,
617,617,male,
618,618,male,
619,619,female,
621,621,female,
622,622,female,
623,623,female,
624,624,male,
626,626,male,
627,627,female,
632,632,female,
633,633,female,
634,634,female,
636,636,male,
638,638,female,
641,641,female,
642,642,female,
643,643,female,
644,644,female,
645,645,female,
646,646,female,
649,649,female,
650,650,female,
653,653,male,
654,654,male,
658,658,female,
661,661,female,
663,663,female,
666,666,female,
667,667,male,
668,668,female,
669,669,female,
670,670,female,
672,672,female,
675,675,male,
676,676,male,
677,677,male,
678,678,male,
679,679,female,
680,680,female,
682,682,male,
683,683,male,
686,686,female,
687,687,male,
688,688,female,
690,690,male,
691,691,male,
693,693,male,
694,694,male,
695,695,female,
696,696,female,
699,699,male,
700,700,male,
704,704,female,
706,706,male,
707,707,female,
710,710,female,
711,711,male,
712,712,male,
714,714,male,
716,716,male,
718,718,male,
